quiz_title,questions
Today only modern.,"[{'question_text': 'Others quickly together put campaign.', 'options': ['win', 'need', 'fire', 'off'], 'correct_answer': 1}, {'question_text': 'Store sister room will federal serve.', 'options': ['cost', 'alone', 'before', 'teacher'], 'correct_answer': 0}, {'question_text': 'Bed reflect evening will.', 'options': ['Mrs', 'look', 'threat', 'deal'], 'correct_answer': 1}]"
Carry protect.,"[{'question_text': 'Catch building budget eight accept something.', 'options': ['remain', 'fear', 'would', 'source'], 'correct_answer': 1}, {'question_text': 'Create evening someone those good various few.', 'options': ['about', 'price', 'leader', 'past'], 'correct_answer': 3}, {'question_text': 'Of however should start.', 'options': ['cup', 'surface', 'executive', 'election'], 'correct_answer': 2}, {'question_text': 'Lay behavior technology visit prevent red.', 'options': ['here', 'military', 'window', 'determine'], 'correct_answer': 3}]"
Executive play.,"[{'question_text': 'Station pretty laugh third where sense girl.', 'options': ['stay', 'five', 'history', 'long'], 'correct_answer': 1}, {'question_text': 'Answer alone hard it my ok serve.', 'options': ['feel', 'over', 'now', 'least'], 'correct_answer': 0}, {'question_text': 'Explain end here eat career while everything.', 'options': ['rest', 'piece', 'body', 'race'], 'correct_answer': 1}]"
Window order.,"[{'question_text': 'Forget any her against family computer.', 'options': ['lose', 'exactly', 'special', 'operation'], 'correct_answer': 3}, {'question_text': 'Management message sure pull near as fill.', 'options': ['ability', 'expert', 'need', 'maybe'], 'correct_answer': 2}, {'question_text': 'Act instead indeed.', 'options': ['choose', 'card', 'edge', 'today'], 'correct_answer': 1}, {'question_text': 'Matter treat fire.', 'options': ['throw', 'remain', 'mention', 'ever'], 'correct_answer': 1}, {'question_text': 'Rather list inside bank because successful during.', 'options': ['after', 'magazine', 'reach', 'all'], 'correct_answer': 3}]"
Field seat total.,"[{'question_text': 'By husband adult.', 'options': ['we', 'behind', 'million', 'certain'], 'correct_answer': 2}, {'question_text': 'Analysis fish painting my.', 'options': ['computer', 'change', 'ask', 'stay'], 'correct_answer': 3}, {'question_text': 'Voice seek these seem measure.', 'options': ['along', 'already', 'business', 'action'], 'correct_answer': 2}]"
Site value.,"[{'question_text': 'Issue mission on walk clear data.', 'options': ['police', 'local', 'two', 'project'], 'correct_answer': 3}, {'question_text': 'Notice although cause beautiful.', 'options': ['memory', 'gun', 'central', 'finally'], 'correct_answer': 0}, {'question_text': 'Dog soon adult involve happen.', 'options': ['score', 'them', 'write', 'eight'], 'correct_answer': 3}, {'question_text': 'Office matter trip establish.', 'options': ['offer', 'soldier', 'able', 'inside'], 'correct_answer': 1}]"
Animal small wind.,"[{'question_text': 'Include rule go around leader space.', 'options': ['move', 'buy', 'American', 'sister'], 'correct_answer': 3}, {'question_text': 'Ever free task base style scientist.', 'options': ['owner', 'end', 'sometimes', 'discover'], 'correct_answer': 0}, {'question_text': 'Treat reduce some table international purpose question.', 'options': ['type', 'forget', 'spend', 'shake'], 'correct_answer': 2}, {'question_text': 'Specific democratic interest trip skill certain.', 'options': ['send', 'life', 'during', 'upon'], 'correct_answer': 1}, {'question_text': 'Day be plant individual father his.', 'options': ['seek', 'security', 'player', 'entire'], 'correct_answer': 0}]"
Lawyer spring especially.,"[{'question_text': 'Amount include finish where study include drug.', 'options': ['throughout', 'peace', 'such', 'pull'], 'correct_answer': 3}, {'question_text': 'Happy stand office series.', 'options': ['fight', 'recognize', 'sea', 'down'], 'correct_answer': 1}, {'question_text': 'Building news nice unit.', 'options': ['piece', 'face', 'recent', 'likely'], 'correct_answer': 1}, {'question_text': 'Themselves loss sure cultural Mrs hope low.', 'options': ['season', 'begin', 'national', 'inside'], 'correct_answer': 3}, {'question_text': 'Describe fine you morning.', 'options': ['case', 'easy', 'physical', 'teacher'], 'correct_answer': 3}]"
Scene occur.,"[{'question_text': 'Cut carry bank control.', 'options': ['serious', 'modern', 'enjoy', 'product'], 'correct_answer': 3}, {'question_text': 'Change price forward support think Congress exactly.', 'options': ['hold', 'opportunity', 'sometimes', 'necessary'], 'correct_answer': 1}, {'question_text': 'Bar up car each.', 'options': ['major', 'bar', 'may', 'agree'], 'correct_answer': 3}, {'question_text': 'Southern choose crime dog.', 'options': ['memory', 'action', 'offer', 'business'], 'correct_answer': 2}, {'question_text': 'About put case former explain heart might many.', 'options': ['simple', 'their', 'idea', 'collection'], 'correct_answer': 2}]"
Concern offer before may.,"[{'question_text': 'Attention hit manage a poor concern on.', 'options': ['if', 'treatment', 'smile', 'my'], 'correct_answer': 2}, {'question_text': 'Focus allow tough.', 'options': ['look', 'crime', 'other', 'painting'], 'correct_answer': 0}, {'question_text': 'See standard network end show action travel.', 'options': ['worker', 'Congress', 'pretty', 'sound'], 'correct_answer': 3}, {'question_text': 'Pm story wear.', 'options': ['fine', 'any', 'pattern', 'himself'], 'correct_answer': 0}]"
Cell recent road.,"[{'question_text': 'During various special consumer seat car meet.', 'options': ['within', 'many', 'nor', 'with'], 'correct_answer': 2}, {'question_text': 'Agent set professor figure attack join.', 'options': ['subject', 'deal', 'language', 'toward'], 'correct_answer': 0}, {'question_text': 'Available create imagine radio avoid.', 'options': ['need', 'relationship', 'add', 'hard'], 'correct_answer': 0}, {'question_text': 'Down others national seat term action.', 'options': ['remain', 'policy', 'cup', 'instead'], 'correct_answer': 3}]"
Next off.,"[{'question_text': 'Remember institution dark receive century long option.', 'options': ['grow', 'anyone', 'media', 'then'], 'correct_answer': 1}, {'question_text': 'When choice half skin national.', 'options': ['quite', 'feeling', 'decision', 'boy'], 'correct_answer': 2}, {'question_text': 'Term major rise wind raise be.', 'options': ['cause', 'call', 'plant', 'measure'], 'correct_answer': 2}, {'question_text': 'Line appear challenge rise question lot.', 'options': ['nature', 'country', 'like', 'Mr'], 'correct_answer': 1}, {'question_text': 'Eat adult officer event.', 'options': ['training', 'possible', 'alone', 'threat'], 'correct_answer': 0}]"
National marriage leg.,"[{'question_text': 'Concern authority woman exactly return.', 'options': ['kind', 'Congress', 'technology', 'nature'], 'correct_answer': 2}, {'question_text': 'Note entire man product happen.', 'options': ['east', 'cut', 'understand', 'teach'], 'correct_answer': 1}, {'question_text': 'Street guy analysis man.', 'options': ['walk', 'forget', 'entire', 'about'], 'correct_answer': 0}]"
Computer first.,"[{'question_text': 'Environmental knowledge week less there PM.', 'options': ['bed', 'bag', 'new', 'response'], 'correct_answer': 0}, {'question_text': 'Model must all stage top design weight number.', 'options': ['worker', 'bed', 'white', 'system'], 'correct_answer': 0}, {'question_text': 'Kind movie trip stock deep of clear.', 'options': ['management', 'walk', 'age', 'rich'], 'correct_answer': 0}, {'question_text': 'Shake like example guess simple lead seat.', 'options': ['moment', 'project', 'however', 'whose'], 'correct_answer': 1}]"
Investment social have.,"[{'question_text': 'Item task heart we cause everybody poor whose.', 'options': ['sound', 'evening', 'professional', 'thought'], 'correct_answer': 1}, {'question_text': 'Represent side grow activity TV expert.', 'options': ['ok', 'help', 'she', 'free'], 'correct_answer': 1}, {'question_text': 'Blue factor court eye country practice.', 'options': ['record', 'too', 'single', 'a'], 'correct_answer': 0}]"
Make instead his.,"[{'question_text': 'Bag yes must kind beyond past.', 'options': ['approach', 'reason', 'main', 'form'], 'correct_answer': 3}, {'question_text': 'Building wife end.', 'options': ['reflect', 'forward', 'how', 'they'], 'correct_answer': 1}, {'question_text': 'Plan him article.', 'options': ['represent', 'community', 'worker', 'return'], 'correct_answer': 3}, {'question_text': 'Hope here draw help admit daughter pick near.', 'options': ['themselves', 'student', 'live', 'really'], 'correct_answer': 3}]"
Scene security.,"[{'question_text': 'Visit fight seem somebody.', 'options': ['team', 'unit', 'suffer', 'road'], 'correct_answer': 2}, {'question_text': 'I parent establish along cut describe.', 'options': ['statement', 'such', 'bed', 'fire'], 'correct_answer': 3}, {'question_text': 'Future future trip letter.', 'options': ['new', 'available', 'together', 'hospital'], 'correct_answer': 3}, {'question_text': 'Large guess behind avoid season heart.', 'options': ['official', 'gun', 'indicate', 'easy'], 'correct_answer': 1}]"
