courseId,course_name,course_details,author,level,category,course_img,author_img,discussions,feedbacks
1,Be guy.,"About realize wind thank. Word against hospital stand above remain.
Unit step try available cover. Person same once action better reveal. Point site good on senior majority how.",Debra Fuentes,Intermediate,data engineering,https://picsum.photos/464/604,https://picsum.photos/846/502,[],[]
2,Republican full house visit.,Care exactly wrong Mrs apply audience serve. Hot write thing require argue. Tree serious pay enter box rich home should.,Jessica Duke,Advanced,data science,https://picsum.photos/1006/415,https://placekitten.com/977/445,[],[]
3,Since page party.,"Without whom official mention certainly hundred attention.
Professional glass ago indicate without after sign. Turn Mr none break factor. Time sea wide affect ahead.",Karen Hoover,Advanced,data science,https://picsum.photos/80/861,https://dummyimage.com/1014x92,[],[]
4,Usually eye front.,"Author do energy control. Over collection manager feeling.
Course budget own hard. Detail analysis modern agreement.
Policy husband garden there fast south. Whether bad race save water.",Denise Wheeler,Intermediate,data science,https://picsum.photos/811/415,https://placekitten.com/469/523,[],[]
5,Power policy describe.,"Resource computer point develop worker. Himself risk determine either rock. Wife main lay form ahead hundred machine.
Loss fund main discussion. Research large choice item clear site experience.",Aaron Haley,Beginner,gen AI,https://placekitten.com/1016/850,https://dummyimage.com/750x932,[],[]
6,Brother toward.,"East forget section. Fly board church today product.
Improve let model stock tax trade. To able analysis memory happen current cut issue. Performance focus many wall western affect physical.",Larry Galvan,Advanced,fullstack,https://placekitten.com/998/444,https://dummyimage.com/163x868,[],[]
7,Majority language politics tell.,Risk capital true edge field city market natural. Girl nation future want treat whose. Instead table body green director. Most on write represent major.,Renee Cortez,Intermediate,fullstack,https://picsum.photos/936/625,https://picsum.photos/245/104,[],[]
8,Itself ready really human.,"Mother nice sister then rock. Very onto thought around whatever. Subject safe would student.
Nation entire happen buy check customer third blue. Key officer early evening.",Dustin Hart,Advanced,data engineering,https://dummyimage.com/641x188,https://placekitten.com/329/528,[],[]
9,Its movie.,"Network foot they. Without mention be and trip. Deep type past still about.
Debate choose anything dinner term training.
Couple coach hotel call other.
Official past action suffer either soldier.",Martha Brock,Beginner,data engineering,https://placekitten.com/795/630,https://picsum.photos/882/791,[],[]
10,Born get person weight.,Determine concern mission clearly product site treat. General five realize what with to mind along. Cold various four music. Among suffer officer question apply international sound.,Nicole Allison,Beginner,fullstack,https://picsum.photos/218/797,https://picsum.photos/782/651,[],[]
11,Show but though actually.,Fall believe pull notice before stay quickly. Theory language experience firm property summer. When special operation no.,Jeffrey Macias,Intermediate,data engineering,https://placekitten.com/841/191,https://picsum.photos/773/859,[],[]
12,Hotel several move.,"Investment the receive list policy source gun. Base participant bag case majority. Throw win so simple experience share make.
Eight lot before special. Science good particularly ball.",Andrew Baker,Advanced,data science,https://placekitten.com/700/792,https://placekitten.com/384/511,[],[]
13,Since pass vote.,"Writer listen she address create.
Plant six despite in fish stay will. Professor hope piece someone century. Sing two brother garden base.",Deanna Moreno,Beginner,data science,https://placekitten.com/374/95,https://placekitten.com/828/355,[],[]
14,Include team range.,"Entire science military federal ball. Information fight leave.
Road choice phone factor public. Clear produce eight trouble. Task enough simply attention human return.",Justin Williams,Beginner,data science,https://picsum.photos/109/703,https://picsum.photos/891/424,[],[]
15,Anything sound rest dream single.,Republican environment work view us cover. Adult bed foot environment. Deep short building interesting.,Gary Wilson,Beginner,data engineering,https://placekitten.com/617/658,https://placekitten.com/202/220,[],[]
16,Into west remember.,Police me bed cultural car. Really discover yourself final. Trial good finish participant.,Brian Brown,Intermediate,gen AI,https://placekitten.com/257/77,https://picsum.photos/915/228,[],[]
17,Several show page save.,Force matter team never company common. Chair day history everyone dinner factor.,Scott Davis,Beginner,data science,https://dummyimage.com/571x756,https://placekitten.com/247/310,[],[]
18,Few Mrs.,Factor later garden if evening. Organization necessary why side.,Donald Tucker,Advanced,data science,https://placekitten.com/951/423,https://dummyimage.com/466x870,[],[]
19,Control lot parent.,Different economy themselves feel value which. Difficult network teacher board ask. Little decade throw present relate pick.,Thomas Green,Intermediate,gen AI,https://picsum.photos/375/862,https://dummyimage.com/742x351,[],[]
20,Nearly doctor successful.,"Old want raise usually. Perhaps blood type right when enough director.
Attorney traditional if career several. Small nice region their after exactly threat.",Mary Palmer,Beginner,data engineering,https://picsum.photos/129/764,https://placekitten.com/375/563,[],[]
21,Concern short laugh another.,Send artist enough gas behavior respond try. Without interesting speech field tree. Magazine ever really media.,Lonnie Santana,Intermediate,data engineering,https://placekitten.com/263/946,https://picsum.photos/151/201,[],[]
